riding_code,riding_name,province,projected_winner,Share_LPC,Share_CPC,Share_NDP,Share_BQ,Share_GPC,Share_PPC
47008,Regina--Wascana,Saskatchewan,CPC,41.8,43.9,9.7,0.0,2.2,2.4
47009,Saskatoon South/Saskatoon-Sud,Saskatchewan,LPC,41.4,40.0,12.6,0.0,2.7,3.3
47010,Saskatoon--University,Saskatchewan,CPC,40.3,40.5,14.3,0.0,2.3,2.5
47011,Saskatoon West/Saskatoon-Ouest,Saskatchewan,CPC,28.2,45.3,21.3,0.0,2.7,2.5
47012,Souris--Moose Mountain,Saskatchewan,CPC,11.2,76.2,6.7,0.0,2.5,3.5
47013,Swift Current--Grasslands--Kindersley,Saskatchewan,CPC,12.5,73.4,9.3,0.0,2.1,2.7
47014,Yorkton--Melville,Saskatchewan,CPC,16.0,69.1,7.8,0.0,3.6,3.4
48001,Airdrie--Cochrane,Alberta,CPC,27.2,60.8,7.8,0.0,1.5,2.8
48002,Battle River--Crowfoot,Alberta,CPC,14.4,72.2,6.4,0.0,2.2,4.8
48003,Bow River,Alberta,CPC,20.7,68.4,5.9,0.0,1.4,3.6
48004,Calgary Centre/Calgary-Centre,Alberta,LPC,47.6,42.4,6.4,0.0,2.2,1.4
48005,Calgary Confederation,Alberta,LPC,52.1,35.2,7.5,0.0,2.8,2.4
48006,Calgary Crowfoot,Alberta,CPC,40.0,48.2,6.6,0.0,2.0,3.2
